城市,网址
昆明,/air/kunming/
昆山,/air/kunshan/
开封,/air/kaifeng/
库尔勒,/air/kuerle/
克州,/air/kezhou/
喀什地区,/air/kashidiqu/
克拉玛依,/air/kelamayi/
洛阳,/air/luoyang/
拉萨,/air/lasa/
连云港,/air/lianyungang/
廊坊,/air/langfang/
来宾,/air/laibin/
莱西,/air/laixi/
莱州,/air/laizhou/
兰州,/air/lanzhou/
乐山,/air/leshan/
凉山州,/air/liangshanzhou/
聊城,/air/liaocheng/
辽阳,/air/liaoyang/
辽源,/air/liaoyuan/
丽江,/air/lijiang/
临安,/air/linan/
临沧,/air/lincang/
临汾,/air/linfen/
临沂,/air/linyi/
丽水,/air/lishui/
六安,/air/liuan/
六盘水,/air/liupanshui/
柳州,/air/liuzhou/
溧阳,/air/liyang/
陇南,/air/longnan/
龙岩,/air/longyan/
娄底,/air/loudi/
漯河,/air/luohe/
泸州,/air/luzhou/
吕梁,/air/lvliang/
临夏州,/air/linxiazhou/
林芝,/air/linzhi/
马鞍山,/air/maanshan/
茂名,/air/maoming/
眉山,/air/meishan/
梅州,/air/meizhou/
绵阳,/air/mianyang/
牡丹江,/air/mudanjiang/
南昌,/air/nanchang/
南宁,/air/nanning/
南充,/air/nanchong/
南平,/air/nanping/
南通,/air/nantong/
南阳,/air/nanyang/
宁波,/air/ningbo/
宁德,/air/ningde/
内江,/air/neijiang/
怒江州,/air/nujiangzhou/
盘锦,/air/panjin/
蓬莱,/air/penglai/
平度,/air/pingdu/
平凉,/air/pingliang/
萍乡,/air/pingxiang/
普洱,/air/puer/
莆田,/air/putian/
濮阳,/air/puyang/
攀枝花,/air/panzhihua/
平顶山,/air/pingdingshan/
青岛,/air/qingdao/
庆阳,/air/qingyang/
清远,/air/qingyuan/
秦皇岛,/air/qinhuangdao/
钦州,/air/qinzhou/
齐齐哈尔,/air/qiqihaer/
七台河,/air/qitaihe/
泉州,/air/quanzhou/
曲靖,/air/qujing/
衢州,/air/quzhou/
黔东南州,/air/qiandongnanzhou/
黔南州,/air/qiannanzhou/
黔西南州,/air/qianxinanzhou/
日照,/air/rizhao/
荣成,/air/rongcheng/
乳山,/air/rushan/
日喀则,/air/rikaze/
沈阳,/air/shenyang/
深圳,/air/shenzhen/
苏州,/air/suzhou/
石家庄,/air/shijiazhuang/
三亚,/air/sanya/
三门峡,/air/sanmenxia/
三明,/air/sanming/
商洛,/air/shangluo/
商丘,/air/shangqiu/
上饶,/air/shangrao/
山南,/air/shannan/
汕头,/air/shantou/
汕尾,/air/shanwei/
韶关,/air/shaoguan/
绍兴,/air/shaoxing/
邵阳,/air/shaoyang/
石河子,/air/shihezi/
十堰,/air/shiyan/
石嘴山,/air/shizuishan/
寿光,/air/shouguang/
双鸭山,/air/shuangyashan/
朔州,/air/shuozhou/
四平,/air/siping/
松原,/air/songyuan/
绥化,/air/suihua/
遂宁,/air/suining/
随州,/air/suizhou/
宿迁,/air/suqian/
宿州,/air/suzhoushi/
太原,/air/taiyuan/
唐山,/air/tangshan/
泰安,/air/taian/
台州,/air/taizhou/
泰州,/air/taizhoushi/
天水,/air/tianshui/
铁岭,/air/tieling/
铜川,/air/tongchuan/
通化,/air/tonghua/
太仓,/air/taicang/
通辽,/air/tongliao/
铜陵,/air/tongling/
铜仁地区,/air/tongrendiqu/
塔城地区,/air/tachengdiqu/
吐鲁番地区,/air/tulufandiqu/
乌鲁木齐,/air/wulumuqi/
无锡,/air/wuxi/
温州,/air/wenzhou/
威海,/air/weihai/
潍坊,/air/weifang/
渭南,/air/weinan/
文登,/air/wendeng/
乌海,/air/wuhai/
武汉,/air/wuhan/
芜湖,/air/wuhu/
吴江,/air/wujiang/
武威,/air/wuwei/
吴忠,/air/wuzhong/
梧州,/air/wuzhou/
五家渠,/air/wujiaqu/
文山州,/air/wenshanzhou/
瓦房店,/air/wafangdian/
乌兰察布,/air/wulanchabu/
西安,/air/xian/
厦门,/air/xiamen/
咸阳,/air/xianyang/
西宁,/air/xining/
邢台,/air/xingtai/
许昌,/air/xuchang/
徐州,/air/xuzhou/
湘潭,/air/xiangtan/
襄阳,/air/xiangyang/
咸宁,/air/xianning/
孝感,/air/xiaogan/
新乡,/air/xinxiang/
信阳,/air/xinyang/
新余,/air/xinyu/
忻州,/air/xinzhou/
宣城,/air/xuancheng/
湘西州,/air/xiangxizhou/
兴安盟,/air/xinganmeng/
西双版纳州,/air/xishuangbannazhou/
锡林郭勒盟,/air/xilinguolemeng/
银川,/air/yinchuan/
雅安,/air/yaan/
延安,/air/yanan/
烟台,/air/yantai/
宜兴,/air/yixing/
盐城,/air/yancheng/
阳江,/air/yangjiang/
阳泉,/air/yangquan/
扬州,/air/yangzhou/
义乌,/air/yiwu/
宜宾,/air/yibin/
宜昌,/air/yichang/
宜春,/air/yichun/
伊春,/air/yichunshi/
营口,/air/yingkou/
鹰潭,/air/yingtan/
益阳,/air/yiyang/
永州,/air/yongzhou/
岳阳,/air/yueyang/
玉林,/air/yulin/
榆林,/air/yulinshi/
运城,/air/yuncheng/
云浮,/air/yunfu/
玉溪,/air/yuxi/
延边州,/air/yanbianzhou/
玉树州,/air/yushuzhou/
伊犁哈萨克州,/air/yilihasakezhou/
珠海,/air/zhuhai/
张家港,/air/zhangjiagang/
张家界,/air/zhangjiajie/
张家口,/air/zhangjiakou/
章丘,/air/zhangqiu/
张掖,/air/zhangye/
漳州,/air/zhangzhou/
湛江,/air/zhanjiang/
肇庆,/air/zhaoqing/
昭通,/air/zhaotong/
招远,/air/zhaoyuan/
郑州,/air/zhengzhou/
镇江,/air/zhenjiang/
中山,/air/zhongshan/
中卫,/air/zhongwei/
周口,/air/zhoukou/
舟山,/air/zhoushan/
诸暨,/air/zhuji/
枣庄,/air/zaozhuang/
驻马店,/air/zhumadian/
株洲,/air/zhuzhou/
淄博,/air/zibo/
自贡,/air/zigong/
资阳,/air/ziyang/
遵义,/air/zunyi/
